iter	Logloss
0	0.6848532748
1	0.6766241164
2	0.6687098393
3	0.6608936543
4	0.6538477268
5	0.6473048204
6	0.6407553744
7	0.6351381678
8	0.6284313072
9	0.622980546
10	0.6169803645
11	0.6110782753
12	0.6047638355
13	0.599477755
14	0.593199957
15	0.5871590854
16	0.5823581203
17	0.5756253612
18	0.5718670281
19	0.5664123743
20	0.5622944735
21	0.5567167632
22	0.5520570716
23	0.5469756353
24	0.542552922
25	0.5381304683
26	0.5337576315
27	0.5304521833
28	0.5255038203
29	0.5216432429
30	0.5179139222
31	0.5138004848
32	0.5095746825
33	0.5055472445
34	0.5021746369
35	0.4988382041
36	0.495893673
37	0.492431952
38	0.4890565418
39	0.4859731246
40	0.4828466299
41	0.4801037328
42	0.4771666754
43	0.4742948571
44	0.4712224428
45	0.4681291126
46	0.464859943
47	0.4617303342
48	0.4594591621
49	0.4566963871
50	0.4537136571
51	0.4510268646
52	0.448963814
53	0.4459336469
54	0.443341106
55	0.4410041757
56	0.4383327977
57	0.4359445377
58	0.4334492067
59	0.4311740382
60	0.4287100033
61	0.4267474843
62	0.4246178711
63	0.4225795512
64	0.4205093124
65	0.4184024318
66	0.4167080574
67	0.4147057047
68	0.4128499972
69	0.4112363543
70	0.4096922842
71	0.4077728687
72	0.4061972949
73	0.4046904895
74	0.4030909117
75	0.4010964997
76	0.3994591642
77	0.3976778303
78	0.3966788467
79	0.3952459738
80	0.3938027726
81	0.3917199479
82	0.3902624221
83	0.389191634
84	0.3884867973
85	0.3875178123
86	0.3861745458
87	0.3847632895
88	0.3834899591
89	0.3820392583
90	0.3807080846
91	0.3793429161
92	0.37819163
93	0.3772982643
94	0.3762754583
95	0.3748559757
96	0.3738274866
97	0.3727072891
98	0.3717252511
99	0.370511321
100	0.3695707775
101	0.3682530462
102	0.367544265
103	0.3665398319
104	0.3658004034
105	0.3647576676
106	0.3634772787
107	0.3626884409
108	0.3617788302
109	0.360661046
110	0.3597715728
111	0.3587702537
112	0.3577840377
113	0.3567130939
114	0.3556324446
115	0.3549209387
116	0.3542489811
117	0.3532891306
118	0.352675639
119	0.3517439965
120	0.3511123657
