iter	Passed	Remaining
0	181	181451
1	188	94031
2	192	63828
3	197	49120
4	203	40588
5	208	34603
6	214	30386
7	222	27537
8	227	25024
9	230	22787
10	237	21376
11	243	20011
12	250	18980
13	254	17935
14	260	17076
15	266	16400
16	272	15763
17	277	15162
18	283	14636
19	289	14197
20	293	13666
21	305	13571
22	315	13383
23	321	13071
24	331	12920
25	337	12660
26	346	12470
27	349	12125
28	355	11887
29	362	11731
30	367	11501
31	379	11472
32	384	11265
33	391	11120
34	397	10953
35	403	10796
36	415	10826
37	427	10814
38	434	10717
39	446	10711
40	453	10601
41	465	10611
42	471	10499
43	478	10395
44	488	10365
45	495	10282
46	506	10264
47	511	10135
48	515	10012
49	525	9991
50	530	9878
51	540	9859
52	545	9745
53	550	9639
54	557	9572
55	562	9475
56	572	9476
57	577	9386
58	586	9355
59	591	9269
60	601	9259
61	607	9185
62	612	9110
63	619	9054
64	623	8973
65	632	8947
66	637	8870
67	641	8794
68	648	8747
69	652	8675
70	657	8609
71	666	8596
72	672	8533
73	679	8501
74	683	8432
75	689	8383
76	696	8348
77	701	8292
78	707	8252
79	714	8217
80	719	8167
81	727	8143
82	732	8092
83	737	8039
84	741	7982
85	744	7915
86	750	7871
87	756	7836
88	761	7791
89	766	7746
90	771	7706
91	777	7677
92	782	7632
93	789	7611
94	795	7574
95	799	7531
96	806	7503
97	810	7463
98	815	7421
99	821	7394
100	827	7365
101	833	7338
102	839	7312
103	847	7302
104	853	7277
105	858	7240
106	864	7217
107	869	7182
108	874	7146
109	880	7124
110	885	7089
111	889	7054
112	898	7050
113	903	7018
114	907	6986
115	915	6978
116	920	6947
117	927	6934
118	933	6909
119	937	6878
120	943	6855
121	948	6826
122	953	6797
123	958	6772
124	964	6752
125	971	6735
126	978	6728
127	983	6701
128	988	6673
129	995	6661
130	1000	6634
131	1006	6618
132	1012	6598
133	1017	6574
134	1024	6564
135	1029	6541
136	1034	6516
137	1042	6513
138	1047	6489
139	1052	6464
140	1057	6445
141	1062	6420
142	1068	6403
143	1073	6382
144	1078	6358
145	1082	6334
146	1090	6328
147	1095	6305
148	1101	6293
149	1108	6278
150	1112	6256
151	1119	6246
152	1124	6225
153	1129	6202
154	1135	6191
155	1140	6169
156	1145	6148
157	1152	6142
158	1157	6121
159	1161	6100
160	1170	6098
161	1175	6079
162	1181	6065
163	1186	6045
164	1190	6026
165	1196	6011
166	1202	5998
167	1207	5978
168	1212	5963
169	1218	5947
170	1223	5932
171	1234	5942
172	1240	5930
173	1248	5928
174	1254	5913
175	1262	5909
176	1267	5892
177	1271	5873
178	1278	5862
179	1282	5844
180	1287	5825
181	1293	5812
182	1297	5794
183	1302	5777
184	1308	5766
185	1314	5750
186	1318	5733
187	1326	5728
188	1331	5711
189	1335	5694
190	1342	5684
191	1346	5666
192	1351	5650
193	1357	5639
194	1362	5622
195	1366	5606
196	1376	5610
197	1381	5594
198	1387	5585
199	1393	5573
200	1398	5557
201	1404	5548
202	1409	5532
203	1414	5520
204	1421	5513
205	1426	5498
206	1431	5483
207	1437	5475
208	1442	5460
209	1447	5444
210	1453	5435
211	1458	5420
212	1463	5405
213	1470	5399
214	1475	5386
215	1479	5371
216	1488	5371
217	1491	5349
218	1496	5335
219	1504	5335
220	1510	5324
221	1516	5315
222	1522	5304
223	1527	5293
224	1537	5295
225	1541	5280
226	1550	5278
227	1556	5271
228	1562	5262
229	1568	5250
230	1573	5236
231	1578	5223
232	1583	5213
233	1588	5200
234	1594	5189
235	1600	5181
236	1605	5168
237	1613	5165
238	1618	5152
239	1622	5138
240	1632	5141
241	1638	5133
242	1647	5131
243	1652	5119
244	1657	5108
245	1664	5101
246	1669	5088
247	1675	5081
248	1680	5069
249	1685	5057
250	1691	5048
251	1696	5036
252	1701	5024
253	1707	5016
254	1712	5003
255	1717	4991
256	1724	4984
257	1729	4973
258	1734	4961
259	1742	4959
260	1747	4946
261	1751	4934
262	1757	4925
263	1762	4914
264	1768	4905
265	1773	4894
266	1778	4882
267	1784	4872
268	1790	4865
269	1795	4853
270	1802	4849
271	1807	4837
272	1811	4825
273	1818	4818
274	1823	4806
275	1827	4794
276	1836	4794
277	1842	4784
278	1849	4778
279	1854	4767
280	1858	4756
281	1864	4748
282	1869	4737
283	1874	4725
284	1879	4716
285	1886	4709
286	1891	4698
287	1898	4693
288	1903	4682
289	1908	4671
290	1914	4664
291	1919	4653
292	1923	4642
293	1930	4634
294	1934	4623
295	1940	4616
296	1947	4610
297	1952	4600
298	1957	4589
299	1967	4590
300	1972	4579
301	1978	4572
302	1982	4561
303	1987	4550
304	1994	4544
305	1999	4534
306	2004	4524
307	2010	4517
308	2015	4506
309	2020	4496
310	2028	4493
311	2032	4482
312	2039	4476
313	2045	4468
314	2050	4458
315	2056	4450
316	2060	4440
317	2065	4430
318	2071	4421
319	2077	4414
320	2081	4403
321	2091	4404
322	2097	4397
323	2105	4393
324	2111	4384
325	2115	4374
326	2122	4367
327	2126	4357
328	2131	4347
329	2139	4343
330	2144	4333
331	2148	4323
332	2157	4321
333	2162	4311
334	2168	4303
335	2173	4294
336	2177	4284
337	2183	4276
338	2188	4267
339	2193	4257
340	2198	4248
341	2205	4242
342	2209	4232
343	2217	4228
344	2222	4219
345	2226	4209
346	2233	4203
347	2239	4195
348	2243	4185
349	2250	4179
350	2254	4169
351	2259	4159
352	2266	4155
353	2271	4145
354	2276	4135
355	2284	4132
356	2289	4123
357	2295	4116
358	2300	4107
359	2305	4097
360	2310	4090
361	2315	4081
362	2320	4071
363	2325	4063
364	2330	4054
365	2335	4045
366	2340	4036
367	2346	4029
368	2350	4020
369	2357	4013
370	2363	4007
371	2368	3997
372	2375	3993
373	2380	3984
374	2385	3976
375	2393	3971
376	2397	3962
377	2402	3953
378	2408	3946
379	2413	3937
380	2418	3928
381	2425	3923
382	2430	3915
383	2435	3906
384	2444	3904
385	2448	3895
386	2454	3888
387	2460	3880
388	2465	3871
389	2470	3864
390	2475	3856
391	2480	3847
392	2485	3839
393	2493	3834
394	2498	3827
395	2509	3827
396	2515	3820
397	2521	3814
398	2526	3805
399	2531	3797
400	2537	3790
401	2542	3782
402	2547	3773
403	2555	3769
404	2559	3760
405	2567	3756
406	2572	3748
407	2577	3739
408	2583	3733
409	2588	3724
410	2593	3716
411	2599	3710
412	2604	3701
413	2609	3693
414	2615	3687
415	2620	3678
416	2625	3670
417	2631	3663
418	2635	3654
419	2640	3646
420	2647	3640
421	2651	3632
422	2656	3623
423	2664	3619
424	2668	3610
425	2673	3602
426	2679	3596
427	2684	3587
428	2689	3579
429	2695	3573
430	2700	3564
431	2704	3556
432	2711	3550
433	2716	3542
434	2721	3534
435	2729	3530
436	2733	3522
437	2738	3513
438	2745	3508
439	2749	3499
440	2754	3491
441	2762	3487
442	2766	3479
443	2773	3472
444	2778	3465
445	2783	3457
446	2788	3450
447	2793	3442
448	2798	3434
449	2803	3426
450	2810	3420
451	2814	3412
452	2821	3407
453	2827	3400
454	2832	3392
455	2837	3385
456	2842	3377
457	2847	3369
458	2853	3363
459	2858	3355
460	2862	3347
461	2868	3339
462	2874	3334
463	2879	3326
464	2886	3321
465	2891	3313
466	2897	3306
467	2905	3302
468	2910	3295
469	2918	3290
470	2923	3283
471	2927	3275
472	2933	3268
473	2938	3260
474	2943	3252
475	2950	3247
476	2954	3239
477	2959	3231
478	2965	3225
479	2969	3217
480	2974	3209
481	2980	3203
482	2986	3196
483	2990	3188
